customer_id,customer_code,customer_name,customer_type,industry,email,phone,billing_city,billing_state,billing_country,shipping_city,shipping_state,shipping_country,credit_limit,status,account_manager,created_at,updated_at,_loaded_at,_source_system
CUST0021,NS-C00021,Denver Distributors LLC 21,RETAIL,Grocery,orders21@example-retail.com,+1-555-1021,Denver,CO,US,Dallas,TX,US,334768.82,ACTIVE,R. Brooks,2021-05-28 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0022,NS-C00022,Houston Retail Group 22,RETAIL,Sporting,orders22@example-retail.com,+1-555-1022,Houston,TX,US,Atlanta,GA,US,428130.47,ACTIVE,J. Kim,2021-06-04 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0023,NS-C00023,Memphis Distributors LLC 23,ECOMMERCE,Home Goods,orders23@example-retail.com,+1-555-1023,Memphis,TN,US,Chicago,IL,US,126529.97,ACTIVE,S. Nguyen,2021-06-11 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0024,NS-C00024,Dallas Retail Group 24,WHOLESALE,Home Goods,orders24@example-retail.com,+1-555-1024,Dallas,TX,US,Columbus,OH,US,26023.8,ACTIVE,S. Nguyen,2021-06-18 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0025,NS-C00025,Atlanta Markets Inc 25,ECOMMERCE,Electronics,orders25@example-retail.com,+1-555-1025,Atlanta,GA,US,Los Angeles,CA,US,225928.56,ACTIVE,L. Chen,2021-06-25 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0026,NS-C00026,Chicago Commerce Partners 26,ECOMMERCE,Apparel,orders26@example-retail.com,+1-555-1026,Chicago,IL,US,Seattle,WA,US,115201.49,ACTIVE,J. Kim,2021-07-02 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0027,NS-C00027,Columbus Retail Group 27,RETAIL,Pharmacy,orders27@example-retail.com,+1-555-1027,Columbus,OH,US,Newark,NJ,US,173962.28,ACTIVE,A. Patel,2021-07-09 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0028,NS-C00028,Los Angeles Commerce Partners 28,ECOMMERCE,Automotive,orders28@example-retail.com,+1-555-1028,Los Angeles,CA,US,Boston,MA,US,461708.89,ACTIVE,R. Brooks,2021-07-16 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0029,NS-C00029,Seattle Supply Co 29,RETAIL,Automotive,orders29@example-retail.com,+1-555-1029,Seattle,WA,US,Phoenix,AZ,US,63052.95,ACTIVE,J. Kim,2021-07-23 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0030,NS-C00030,Newark Retail Group 30,RETAIL,Pharmacy,orders30@example-retail.com,+1-555-1030,Newark,NJ,US,Denver,CO,US,434364.12,ACTIVE,S. Nguyen,2021-07-30 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0031,NS-C00031,Boston Retail Group 31,WHOLESALE,Automotive,orders31@example-retail.com,+1-555-1031,Boston,MA,US,Houston,TX,US,307396.6,ACTIVE,R. Brooks,2021-08-06 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0032,NS-C00032,Phoenix Retail Group 32,ECOMMERCE,Pharmacy,orders32@example-retail.com,+1-555-1032,Phoenix,AZ,US,Memphis,TN,US,302244.34,ACTIVE,R. Brooks,2021-08-13 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0033,NS-C00033,Denver Markets Inc 33,DISTRIBUTOR,Apparel,orders33@example-retail.com,+1-555-1033,Denver,CO,US,Dallas,TX,US,343119.84,ACTIVE,M. Torres,2021-08-20 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0034,NS-C00034,Houston Supply Co 34,DISTRIBUTOR,Home Goods,orders34@example-retail.com,+1-555-1034,Houston,TX,US,Atlanta,GA,US,87167.18,ACTIVE,L. Chen,2021-08-27 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0035,NS-C00035,Memphis Markets Inc 35,ECOMMERCE,Electronics,orders35@example-retail.com,+1-555-1035,Memphis,TN,US,Chicago,IL,US,466283.71,ACTIVE,A. Patel,2021-09-03 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0036,NS-C00036,Dallas Retail Group 36,ECOMMERCE,Automotive,orders36@example-retail.com,+1-555-1036,Dallas,TX,US,Columbus,OH,US,499265.86,ACTIVE,A. Patel,2021-09-10 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0037,NS-C00037,Atlanta Retail Group 37,WHOLESALE,Automotive,orders37@example-retail.com,+1-555-1037,Atlanta,GA,US,Los Angeles,CA,US,150970.2,ACTIVE,M. Torres,2021-09-17 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0038,NS-C00038,Chicago Retail Group 38,WHOLESALE,Electronics,orders38@example-retail.com,+1-555-1038,Chicago,IL,US,Seattle,WA,US,160369.01,ACTIVE,S. Nguyen,2021-09-24 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0039,NS-C00039,Columbus Commerce Partners 39,DISTRIBUTOR,Automotive,orders39@example-retail.com,+1-555-1039,Columbus,OH,US,Newark,NJ,US,492330.32,ACTIVE,L. Chen,2021-10-01 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0040,NS-C00040,Los Angeles Commerce Partners 40,RETAIL,Pharmacy,orders40@example-retail.com,+1-555-1040,Los Angeles,CA,US,Boston,MA,US,413124.46,ACTIVE,M. Torres,2021-10-08 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0041,NS-C00041,Seattle Retail Group 41,WHOLESALE,Electronics,orders41@example-retail.com,+1-555-1041,Seattle,WA,US,Phoenix,AZ,US,79828.62,ACTIVE,A. Patel,2021-10-15 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0042,NS-C00042,Newark Commerce Partners 42,WHOLESALE,Electronics,orders42@example-retail.com,+1-555-1042,Newark,NJ,US,Denver,CO,US,158834.23,ACTIVE,J. Kim,2021-10-22 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0043,NS-C00043,Boston Markets Inc 43,WHOLESALE,Pharmacy,orders43@example-retail.com,+1-555-1043,Boston,MA,US,Houston,TX,US,326263.03,ACTIVE,M. Torres,2021-10-29 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0044,NS-C00044,Phoenix Commerce Partners 44,ECOMMERCE,Electronics,orders44@example-retail.com,+1-555-1044,Phoenix,AZ,US,Memphis,TN,US,455034.83,ACTIVE,A. Patel,2021-11-05 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0045,NS-C00045,Denver Retail Group 45,ECOMMERCE,Sporting,orders45@example-retail.com,+1-555-1045,Denver,CO,US,Dallas,TX,US,156423.11,ACTIVE,A. Patel,2021-11-12 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0046,NS-C00046,Houston Markets Inc 46,WHOLESALE,Pharmacy,orders46@example-retail.com,+1-555-1046,Houston,TX,US,Atlanta,GA,US,490404.03,ACTIVE,J. Kim,2021-11-19 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0047,NS-C00047,Memphis Distributors LLC 47,ECOMMERCE,Automotive,orders47@example-retail.com,+1-555-1047,Memphis,TN,US,Chicago,IL,US,29593.11,ACTIVE,A. Patel,2021-11-26 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0048,NS-C00048,Dallas Supply Co 48,RETAIL,Sporting,orders48@example-retail.com,+1-555-1048,Dallas,TX,US,Columbus,OH,US,200377.59,ACTIVE,R. Brooks,2021-12-03 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0049,NS-C00049,Atlanta Supply Co 49,ECOMMERCE,Apparel,orders49@example-retail.com,+1-555-1049,Atlanta,GA,US,Los Angeles,CA,US,44868.71,ACTIVE,M. Torres,2021-12-10 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0050,NS-C00050,Chicago Retail Group 50,DISTRIBUTOR,Apparel,orders50@example-retail.com,+1-555-1050,Chicago,IL,US,Seattle,WA,US,348981.68,ACTIVE,L. Chen,2021-12-17 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0051,NS-C00051,Columbus Retail Group 51,DISTRIBUTOR,Sporting,orders51@example-retail.com,+1-555-1051,Columbus,OH,US,Newark,NJ,US,290944.67,ACTIVE,S. Nguyen,2021-12-24 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0052,NS-C00052,Los Angeles Commerce Partners 52,WHOLESALE,Apparel,orders52@example-retail.com,+1-555-1052,Los Angeles,CA,US,Boston,MA,US,435687.71,ACTIVE,J. Kim,2021-12-31 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0053,NS-C00053,Seattle Distributors LLC 53,RETAIL,Apparel,orders53@example-retail.com,+1-555-1053,Seattle,WA,US,Phoenix,AZ,US,374868.12,ACTIVE,M. Torres,2022-01-07 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0054,NS-C00054,Newark Distributors LLC 54,WHOLESALE,Electronics,orders54@example-retail.com,+1-555-1054,Newark,NJ,US,Denver,CO,US,100618.98,ACTIVE,L. Chen,2022-01-14 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0055,NS-C00055,Boston Retail Group 55,ECOMMERCE,Sporting,orders55@example-retail.com,+1-555-1055,Boston,MA,US,Houston,TX,US,43394.19,ACTIVE,S. Nguyen,2022-01-21 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0056,NS-C00056,Phoenix Supply Co 56,WHOLESALE,Sporting,orders56@example-retail.com,+1-555-1056,Phoenix,AZ,US,Memphis,TN,US,461264.65,ACTIVE,M. Torres,2022-01-28 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0057,NS-C00057,Denver Markets Inc 57,WHOLESALE,Apparel,orders57@example-retail.com,+1-555-1057,Denver,CO,US,Dallas,TX,US,36240.61,ACTIVE,J. Kim,2022-02-04 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0058,NS-C00058,Houston Distributors LLC 58,DISTRIBUTOR,Electronics,orders58@example-retail.com,+1-555-1058,Houston,TX,US,Atlanta,GA,US,435567.65,ACTIVE,M. Torres,2022-02-11 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0059,NS-C00059,Memphis Markets Inc 59,ECOMMERCE,Pharmacy,orders59@example-retail.com,+1-555-1059,Memphis,TN,US,Chicago,IL,US,491046.1,ACTIVE,R. Brooks,2022-02-18 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0060,NS-C00060,Dallas Markets Inc 60,RETAIL,Grocery,orders60@example-retail.com,+1-555-1060,Dallas,TX,US,Columbus,OH,US,441593.25,ACTIVE,M. Torres,2022-02-25 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0061,NS-C00061,Atlanta Supply Co 61,DISTRIBUTOR,Grocery,orders61@example-retail.com,+1-555-1061,Atlanta,GA,US,Los Angeles,CA,US,76491.21,INACTIVE,S. Nguyen,2022-03-04 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0062,NS-C00062,Chicago Markets Inc 62,DISTRIBUTOR,Home Goods,orders62@example-retail.com,+1-555-1062,Chicago,IL,US,Seattle,WA,US,312949.21,INACTIVE,R. Brooks,2022-03-11 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0063,NS-C00063,Columbus Retail Group 63,ECOMMERCE,Automotive,orders63@example-retail.com,+1-555-1063,Columbus,OH,US,Newark,NJ,US,115287.42,INACTIVE,A. Patel,2022-03-18 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0064,NS-C00064,Los Angeles Distributors LLC 64,RETAIL,Automotive,orders64@example-retail.com,+1-555-1064,Los Angeles,CA,US,Boston,MA,US,464648.2,INACTIVE,R. Brooks,2022-03-25 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0065,NS-C00065,Seattle Supply Co 65,DISTRIBUTOR,Home Goods,orders65@example-retail.com,+1-555-1065,Seattle,WA,US,Phoenix,AZ,US,58237.56,INACTIVE,L. Chen,2022-04-01 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0066,NS-C00066,Newark Markets Inc 66,DISTRIBUTOR,Pharmacy,orders66@example-retail.com,+1-555-1066,Newark,NJ,US,Denver,CO,US,427807.26,INACTIVE,L. Chen,2022-04-08 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0067,NS-C00067,Boston Markets Inc 67,DISTRIBUTOR,Pharmacy,orders67@example-retail.com,+1-555-1067,Boston,MA,US,Houston,TX,US,218986.63,INACTIVE,S. Nguyen,2022-04-15 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0068,NS-C00068,Phoenix Markets Inc 68,WHOLESALE,Apparel,orders68@example-retail.com,+1-555-1068,Phoenix,AZ,US,Memphis,TN,US,224712.01,INACTIVE,S. Nguyen,2022-04-22 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0069,NS-C00069,Denver Supply Co 69,DISTRIBUTOR,Home Goods,orders69@example-retail.com,+1-555-1069,Denver,CO,US,Dallas,TX,US,285270.18,PROSPECT,A. Patel,2022-04-29 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0070,NS-C00070,Houston Markets Inc 70,DISTRIBUTOR,Apparel,orders70@example-retail.com,+1-555-1070,Houston,TX,US,Atlanta,GA,US,229196.87,PROSPECT,R. Brooks,2022-05-06 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0071,NS-C00071,Memphis Commerce Partners 71,DISTRIBUTOR,Home Goods,orders71@example-retail.com,+1-555-1071,Memphis,TN,US,Chicago,IL,US,234848.36,PROSPECT,L. Chen,2022-05-13 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0072,NS-C00072,Dallas Supply Co 72,ECOMMERCE,Sporting,orders72@example-retail.com,+1-555-1072,Dallas,TX,US,Columbus,OH,US,453060.89,PROSPECT,L. Chen,2022-05-20 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0073,NS-C00073,Atlanta Supply Co 73,RETAIL,Electronics,orders73@example-retail.com,+1-555-1073,Atlanta,GA,US,Los Angeles,CA,US,269839.7,PROSPECT,L. Chen,2022-05-27 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0074,NS-C00074,Chicago Commerce Partners 74,DISTRIBUTOR,Grocery,orders74@example-retail.com,+1-555-1074,Chicago,IL,US,Seattle,WA,US,413751.15,CHURNED,J. Kim,2022-06-03 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0075,NS-C00075,Columbus Markets Inc 75,WHOLESALE,Sporting,orders75@example-retail.com,+1-555-1075,Columbus,OH,US,Newark,NJ,US,119586.72,CHURNED,A. Patel,2022-06-10 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
